"filename", "language", "JavaScript JSX", "JSON with Comments", "JavaScript", "Shell Script", "YAML", "TypeScript", "Markdown", "JSON", "TypeScript JSX", "PostCSS", "Ignore", "comment", "blank", "total"
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon-tests/core/src/shared/get-props-value.ts", "TypeScript", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 1, 11
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon-tests/core/src/shared/it-has-classes.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 3, 13
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon-tests/core/src/shared/it-has-extend.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 3, 12
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon-tests/core/src/shared/it-has-withProps.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 3, 12
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon-tests/core/src/shared/it-is-polymorphic.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 10, 56
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon-tests/core/src/shared/it-renders-children.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 3, 6, 34
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon-tests/core/src/shared/it-supports-classname.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 5, 25
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon-tests/core/src/shared/it-supports-focus-events.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 6, 31
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon-tests/core/src/shared/it-supports-hidden-visible.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 6, 30
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon-tests/core/src/shared/it-supports-id.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 4, 19
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon-tests/core/src/shared/it-supports-light-dark-hidden.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 6, 30
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon-tests/core/src/shared/it-supports-mod.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 50, 26, 131
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon-tests/core/src/shared/it-supports-others.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 4, 23
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon-tests/core/src/shared/it-supports-provider-default-props.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 4, 30
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon-tests/core/src/shared/it-supports-ref.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 4, 26
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon-tests/core/src/shared/it-supports-size.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 6, 34
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon-tests/core/src/shared/it-supports-style-api.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 103, 0, 0, 137, 27, 267
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon-tests/core/src/shared/it-supports-style.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 14, 82
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon-tests/core/src/shared/it-supports-variant.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 4, 23
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon-tests/core/src/shared/it-throws-context-error.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 3, 23
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon-tests/core/src/style-props/it-supports-background-props.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 9, 40
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon-tests/core/src/style-props/it-supports-colors-props.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 7, 33
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon-tests/core/src/style-props/it-supports-fonts-props.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 14, 65
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon-tests/core/src/style-props/it-supports-margins-props.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 14, 62
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon-tests/core/src/style-props/it-supports-paddings-props.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 13, 57
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon-tests/core/src/style-props/it-supports-position-props.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 12, 53
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon-tests/core/src/style-props/it-supports-size-props.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 11, 49
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon-tests/core/src/wait.ts", "TypeScript", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon-tests/core/tsconfig.build.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon-tests/core/tsconfig.json", "JSON with Comments", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 24
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon-tests/dates/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4, 8
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon-tests/dates/package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 1, 42
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon-tests/dates/src/date-input-test-helpers.ts", "TypeScript", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 9, 37
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon-tests/dates/src/index.ts", "TypeScript", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 3, 41
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon-tests/dates/src/it-handles-controls-keyboard-events.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 21, 80
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon-tests/dates/src/it-handles-month-keyboard-events.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 20, 77
"/Volumes/Data/Users/paul/development/src/github/empoleondev/empoleon/packages/@empoleon-tests/dates/src/it-support-header-props.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 137, 0, 0, 0, 28, 165
